epoch,phase,layer,stage,mae,rmse,relative_l1,relative_l2,max_abs,samples,batches,numel
1,train,decoder.layers.1.crossattention.attention,attention_output,0.14626010521013375,0.2177656558757224,0.23007378399973386,0.2747257867531896,3.649928331375122,29000,454,406806528
1,train,decoder.layers.2.attention.attention,qk_scores,0.8333728208226173,1.04513408128044,0.6525722468201484,0.5861339173210638,6.129469871520996,29000,454,177705216
1,train,decoder.layers.2.attention.attention,softmax_probs,0.014992617008647636,0.04133266683499457,0.41915020501177436,0.42621732431020737,0.8528161644935608,29000,454,177705216
1,train,decoder.layers.2.attention.attention,attention_output,0.6059429401497645,0.7930121765122561,0.8505347010623427,0.8818606082970982,8.60417652130127,29000,454,406806528
1,train,decoder.layers.2.crossattention.attention,qk_scores,0.5600433188712678,0.7636346248745618,0.8111036384723538,0.852027099339601,6.145927906036377,29000,454,178686080
1,train,decoder.layers.2.crossattention.attention,softmax_probs,0.008863396638392652,0.019572990573516667,0.2491626644967995,0.36507259827064525,0.5852112174034119,29000,454,178686080
1,train,decoder.layers.2.crossattention.attention,attention_output,0.14886787011218697,0.22502765867141752,0.2337212430936863,0.28192228249522505,3.67997145652771,29000,454,406806528
1,train,decoder.layers.3.attention.attention,qk_scores,0.8268508591629845,1.0380737347588285,0.5404927495754825,0.48361611883605937,6.476140022277832,29000,454,177705216
1,train,decoder.layers.3.attention.attention,softmax_probs,0.013907967312153338,0.03899770881755389,0.38882653687636376,0.38792253786415837,0.9184808731079102,29000,454,177705216
1,train,decoder.layers.3.attention.attention,attention_output,0.6112444115937189,0.803585730799612,0.8088362547839145,0.8416764402821841,11.051262855529785,29000,454,406806528
1,train,decoder.layers.3.crossattention.attention,qk_scores,0.5672009529969052,0.7667728387729198,0.8172243830438197,0.859729103221192,5.793753623962402,29000,454,178686080
1,train,decoder.layers.3.crossattention.attention,softmax_probs,0.009201697356506274,0.02017031338945112,0.25867277803061706,0.37543480736704926,0.6341130137443542,29000,454,178686080
1,train,decoder.layers.3.crossattention.attention,attention_output,0.16300007210906287,0.24390498806439936,0.24674711556057896,0.2934132769798925,3.93025803565979,29000,454,406806528
1,train,decoder.layers.4.attention.attention,qk_scores,0.8138566561106878,1.024699599812,0.47909705891705456,0.44377017456765805,6.291868209838867,29000,454,177705216
1,train,decoder.layers.4.attention.attention,softmax_probs,0.012951715727283162,0.037375138583604535,0.36209250854695446,0.3621581350815639,0.8560072183609009,29000,454,177705216
1,train,decoder.layers.4.attention.attention,attention_output,0.6150218521478747,0.808069160297477,0.7600505453651563,0.7941350563469088,9.411928176879883,29000,454,406806528
1,train,decoder.layers.4.crossattention.attention,qk_scores,0.5401907344107593,0.7375105705265281,0.8056335516619527,0.8541876952480084,5.963819980621338,29000,454,178686080
1,train,decoder.layers.4.crossattention.attention,softmax_probs,0.008741317538468194,0.01931254237426723,0.24573084765981035,0.3596909469910812,0.5759098529815674,29000,454,178686080
1,train,decoder.layers.4.crossattention.attention,attention_output,0.1691114642659984,0.25378862576081435,0.2435873163088118,0.2924801373518698,4.326897621154785,29000,454,406806528
1,train,decoder.layers.5.attention.attention,qk_scores,0.8509909639593985,1.0686795172066719,0.43213362315412235,0.38655569869794815,6.931753635406494,29000,454,177705216
1,train,decoder.layers.5.attention.attention,softmax_probs,0.012475809125077566,0.036713979671522456,0.34878753652199873,0.3431385364096307,0.9105757474899292,29000,454,177705216
1,train,decoder.layers.5.attention.attention,attention_output,0.6279942746749014,0.8311879539981124,0.7079271854532034,0.7457152079394599,10.60535717010498,29000,454,406806528
1,train,decoder.layers.5.crossattention.attention,qk_scores,0.6310096150777211,0.8382703369765412,0.9210877444574992,0.9654898925820039,5.93746280670166,29000,454,178686080
1,train,decoder.layers.5.crossattention.attention,softmax_probs,0.010251172910538162,0.02195009260065779,0.28817502598758765,0.408027826288973,0.639266848564148,29000,454,178686080
1,train,decoder.layers.5.crossattention.attention,attention_output,0.23023992190774592,0.3283353560267195,0.2484957278977926,0.28565805461463095,5.480894088745117,29000,454,406806528
